기준_년분기_코드,자치구,지출_총금액,식료품_지출_총금액,교통_지출_총금액
20191,마포구,2623550824.0,644336613.0,440461070.0
20191,마포구,2250563112.0,619725951.0,304079312.0
20191,마포구,9663644440.0,2452554983.0,1532137135.0
20191,마포구,9786874318.0,2420432387.0,1662129750.0
20191,마포구,5680579031.0,1375951337.0,982034969.0
20191,마포구,6301522689.0,1518225311.0,906572849.0
20191,마포구,5649258029.0,1401121058.0,959012642.0
20191,마포구,5139813372.0,1209094359.0,903854128.0
20191,마포구,8036340491.0,1875833746.0,1191844087.0
20191,마포구,4757183027.0,1109449689.0,716786191.0
20191,마포구,5822093418.0,1451940754.0,935889837.0
20191,마포구,5712429169.0,1359505944.0,932230733.0
20191,마포구,8912934057.0,2253131538.0,1489895081.0
20191,마포구,6008899269.0,1460450123.0,949492333.0
20191,마포구,7647224469.0,1834933949.0,1306265955.0
20191,마포구,7834659903.0,2126093522.0,1245262910.0
20191,마포구,9708872091.0,2749852472.0,1466066967.0
20191,마포구,6367270237.0,1794606158.0,983065716.0
20191,마포구,9981982709.0,2794317639.0,1536389150.0
20191,마포구,11491334067.0,3206599005.0,1773424698.0
20191,마포구,11217176761.0,2906085731.0,1864009158.0
20191,마포구,9269403746.0,2153829500.0,1672255557.0
20191,마포구,3684337517.0,980742331.0,602952502.0
20191,마포구,5272983093.0,1310448983.0,915494954.0
20191,마포구,5198026094.0,1499087207.0,689630812.0
20191,마포구,4036054967.0,945201201.0,684927246.0
20191,마포구,3773529392.0,1130000980.0,487602499.0
20191,마포구,4309521912.0,1103767361.0,721057800.0
20191,마포구,6449746261.0,1679482999.0,1058998379.0
20191,마포구,7560670540.0,1854566592.0,1307541240.0
20191,마포구,7792014801.0,1939403878.0,1332623381.0
20191,양천구,7751505883.0,1906521987.0,1328724742.0
20191,양천구,11369259893.0,2854475879.0,1919384436.0
20191,양천구,6206521078.0,1584111404.0,1015577078.0
20191,양천구,12361285194.0,3232340923.0,2036227126.0
20191,양천구,6280866038.0,1685931816.0,975298196.0
20191,양천구,7456914613.0,1992611541.0,1200028266.0
20191,양천구,13491743489.0,3504468508.0,2242243927.0
20191,양천구,9135709413.0,2604418007.0,1388073468.0
20191,양천구,10068439561.0,2745266570.0,1624950474.0
20191,양천구,8577542964.0,2508285712.0,1273586222.0
20191,양천구,14511172668.0,3936021794.0,2333091326.0
20191,양천구,8653261715.0,2518188136.0,1295421959.0
20191,양천구,12744825595.0,3307518233.0,2122203689.0
20191,양천구,5299553523.0,1333950954.0,908214079.0
20191,양천구,7142803965.0,2192508771.0,1004917099.0
20191,양천구,4803179633.0,1377125676.0,727634637.0
20191,양천구,4345728349.0,1218842278.0,658984671.0
20191,양천구,12772609182.0,3119933114.0,2236699983.0
20191,양천구,7513157238.0,1754110038.0,1314422754.0
20191,양천구,19312274349.0,4678373125.0,3269700238.0
20191,양천구,8531972514.0,2036804954.0,1463263722.0
20191,양천구,15167256109.0,3706747629.0,2560875959.0
20191,양천구,11443628475.0,2857360108.0,1973766213.0
20191,양천구,4421485000.0,1122756640.0,732547647.0
20191,양천구,5538112243.0,1350654517.0,949925429.0
20191,양천구,7666984924.0,1953529170.0,1283983465.0
20191,양천구,6135463911.0,1507521336.0,1031737964.0
20191,양천구,14496607680.0,3743080630.0,2382564677.0
20191,양천구,14041693190.0,3614927097.0,2331827195.0
20191,양천구,5738096599.0,1668710557.0,856766404.0
20191,양천구,8247554986.0,2202833922.0,1335081449.0
20191,양천구,14299002773.0,3577492061.0,2436812423.0
20191,강서구,11484643624.0,3099104867.0,1874118673.0
20191,강서구,16076108794.0,4371690780.0,2586815210.0
20191,강서구,5976219430.0,1621006486.0,976882953.0
20191,강서구,7722946989.0,2114675156.0,1237432421.0
20191,강서구,10528500802.0,2864832980.0,1707242645.0
20191,강서구,8550798316.0,2343362127.0,1382825861.0
20191,강서구,6296310648.0,1673327453.0,1035071856.0
20191,강서구,8638867930.0,2424579661.0,1353060893.0
20191,강서구,11218305195.0,3071613463.0,1786303830.0
20191,강서구,10960961550.0,2993500027.0,1756013265.0
20191,강서구,3652288766.0,988924016.0,592719639.0
20191,양천구,4865311089.0,1190207832.0,824936443.0
20191,양천구,10445657551.0,2679988928.0,1667197690.0
20191,양천구,12949964613.0,3177594525.0,2228668505.0
20191,양천구,10835455862.0,2668193618.0,1804630243.0
20191,양천구,10411280607.0,2513053603.0,1809882712.0
20191,강서구,5804635490.0,1385070974.0,1005174274.0
20191,강서구,29759416069.0,7171731428.0,5239174126.0
20191,강서구,13769134102.0,3337564011.0,2404478327.0
20191,강서구,2601100852.0,645082285.0,445030731.0
20191,강서구,20849457036.0,5188432185.0,3627228300.0
20191,강서구,6851217516.0,1634887262.0,1181478668.0
20191,강서구,10659427548.0,2510422368.0,1838775225.0
20191,강서구,3088978526.0,898857922.0,438177165.0
20191,강서구,20735527375.0,5148722303.0,3597317533.0
20191,강서구,17511213408.0,4442425632.0,2987386866.0
20191,강서구,15152156788.0,3632574840.0,2577992732.0
20191,강서구,1821796242.0,471018331.0,300879740.0
20191,강서구,6343995333.0,1629527980.0,1067523505.0
20191,강서구,2631657737.0,767076650.0,396875180.0
20191,강서구,8024457160.0,2238474224.0,1252072842.0
20191,강서구,7931839563.0,2262447850.0,1229381847.0
20191,강서구,14201837403.0,3580697907.0,2317899873.0
20191,강서구,15100229154.0,3726214293.0,2621932959.0
20191,강서구,4832828495.0,1199944513.0,806340872.0
20191,강서구,24191494887.0,5901556397.0,4266848581.0
20191,강서구,6285998335.0,1989591522.0,788321255.0
20191,강서구,5170482988.0,1308658364.0,878455868.0
20191,강서구,18183527392.0,4493205138.0,3144794271.0
20191,강서구,6233082035.0,1480140537.0,1079679696.0
20191,강서구,6570576750.0,1548205960.0,1161248431.0
20191,강서구,28441314862.0,6858723267.0,5044726389.0
20191,강서구,5928385485.0,1398806890.0,1046118843.0
20191,강서구,11497961149.0,2979427328.0,1850197995.0
20191,강서구,28473476915.0,6866761985.0,4999929460.0
20191,강서구,13320404067.0,3151638017.0,2351625178.0
20191,강서구,6651365825.0,1846431356.0,995801991.0
20191,강서구,20918918617.0,4968287284.0,3662641296.0
20191,구로구,3372672974.0,924888889.0,532814108.0
20191,구로구,9424080257.0,2595399655.0,1486374735.0
20191,구로구,2354561937.0,666702062.0,359679583.0
20191,구로구,4306564122.0,1155241428.0,686278804.0
20191,구로구,3801633716.0,1023207278.0,601508142.0
20191,구로구,3568241888.0,946913347.0,564959204.0
20191,구로구,2426323608.0,676937717.0,370360968.0
20191,구로구,3510371937.0,910579781.0,574970704.0
20191,강서구,6625023268.0,1629309679.0,1107989662.0
20191,강서구,5894562115.0,1446276311.0,975917928.0
20191,강서구,9811989175.0,2378128532.0,1630075227.0
20191,강서구,9190223882.0,2165127286.0,1585840881.0
20191,강서구,14570892899.0,3656327745.0,2479266363.0
20191,강서구,3837389007.0,1259133684.0,491363483.0
20191,강서구,12869042772.0,3254620508.0,2191047504.0
20191,강서구,5990357150.0,1524360675.0,1022997844.0
20191,구로구,11212504875.0,3055981965.0,1805753359.0
20191,구로구,6900157163.0,1841820774.0,1138997800.0
20191,구로구,6166809495.0,1648202257.0,977237511.0
20191,구로구,9866651685.0,2799794124.0,1508074494.0
20191,구로구,6494226922.0,1768391531.0,1018988605.0
20191,구로구,12167965177.0,3155594747.0,2084835331.0
20191,구로구,5679071556.0,1514377029.0,931370605.0
20191,구로구,10231387164.0,2693172348.0,1737280309.0
20191,구로구,10177318457.0,2987236157.0,1518633238.0
20191,구로구,10389857381.0,2996873256.0,1570777065.0
